taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,source,occurrenceRemarks
1251,ISO3166-2:MX-TLA,Tlaxcala,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1251,ISO3166-2:MX-VER,Veracruz de Ignacio de la Llave,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1251,ISO3166-2:MX-ZAC,Zacatecas,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1254,ISO3166-2:US-FL,Florida,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1255,ISO3166-2:US-IL,Illinois,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1257,ISO3166-2:MX-CMX,Ciudad de México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1257,ISO3166-2:MX-GUA,Guanajuato,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1257,ISO3166-2:MX-HID,Hidalgo,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1257,ISO3166-2:MX-MEX,México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1257,ISO3166-2:MX-ZAC,Zacatecas,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1257,ISO3166-2:US-AZ,Arizona,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1257,ISO3166-2:US-CA,California,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1257,ISO3166-2:US-NM,New Mexico,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1264,ISO3166-2:US-CA,California,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1265,ISO3166-2:US-DC,District of Columbia,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1265,ISO3166-2:US-FL,Florida,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1265,ISO3166-2:US-MO,Missouri,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1265,ISO3166-2:US-VA,Virginia,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1267,ISO3166-2:US-AZ,Arizona,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1267,ISO3166-2:US-CA,California,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1268,ISO3166-2:CA-ON,Ontario,CA,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,"Lobato-Vila & Pujade-Villar, 2021 records this species specifically from Ottawa"
1268,ISO3166-2:US-CA,California,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,"Lobato-Vila & Pujade-Villar, 2021 notes that records from this locality requires further confirmation"
1268,ISO3166-2:US-CO,Colorado,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1268,ISO3166-2:US-KY,Kentucky,US,present,native,https://doi.org/10.1093/isd/ixaa017,
1268,ISO3166-2:US-DC,District of Columbia,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1268,ISO3166-2:US-IA,Iowa,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1268,ISO3166-2:US-IL,Illinois,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1268,ISO3166-2:US-MA,Massachusetts,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1268,ISO3166-2:US-MI,Michigan,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1268,ISO3166-2:US-NJ,New Jersey,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1268,ISO3166-2:US-NY,New York,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1268,ISO3166-2:US-OR,Oregon,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1268,ISO3166-2:US-WA,Washington,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1272,ISO3166-2:US-CA,California,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1274,ISO3166-2:MX-BCN,Baja California,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1274,ISO3166-2:US-CA,California,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1279,ISO3166-2:MX-CMX,Ciudad de México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1279,ISO3166-2:MX-HID,Hidalgo,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1279,ISO3166-2:MX-MEX,México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1279,ISO3166-2:MX-MOR,Morelos,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1279,ISO3166-2:MX-NLE,Nuevo León,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1279,ISO3166-2:MX-PUE,Puebla,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1279,ISO3166-2:MX-TLA,Tlaxcala,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1279,ISO3166-2:MX-VER,Veracruz de Ignacio de la Llave,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1280,ISO3166-2:US-CA,California,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1280,ISO3166-2:US-CO,Colorado,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1282,ISO3166-2:US-IA,Iowa,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1282,ISO3166-2:US-NY,New York,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1286,ISO3166-2:MX-BCN,Baja California,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1286,ISO3166-2:US-CA,California,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1286,ISO3166-2:US-OR,Oregon,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1287,ISO3166-2:US-CA,California,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1288,ISO3166-2:MX-GUA,Guanajuato,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1288,ISO3166-2:MX-HID,Hidalgo,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1288,ISO3166-2:MX-MEX,México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1288,ISO3166-2:MX-MIC,Michoacán de Ocampo,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1288,ISO3166-2:MX-OAX,Oaxaca,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1288,ISO3166-2:MX-ZAC,Zacatecas,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1290,ISO3166-2:US-CA,California,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1291,ISO3166-2:MX-CMX,Ciudad de México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1291,ISO3166-2:MX-HID,Hidalgo,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1291,ISO3166-2:MX-MEX,México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1291,ISO3166-2:MX-TLA,Tlaxcala,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1291,ISO3166-2:MX-ZAC,Zacatecas,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1292,ISO3166-2:US-FL,Florida,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1294,ISO3166-2:MX-GRO,Guerrero,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1294,ISO3166-2:MX-MEX,México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1296,ISO3166-2:US-IL,Illinois,US,present,native,https://doi.org/10.1093/isd/ixaa017,
1296,ISO3166-2:US-IA,Iowa,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1297,ISO3166-2:US-FL,Florida,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1299,ISO3166-2:US-IL,Illinois,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
